t,s1,s5
25.266414,1.872741536,0.299528657
25.299747,1.872436605,0.299230916
25.33308,1.872500654,0.299428789
25.366413,1.872329412,0.299436512
25.399746,1.871997449,0.299157279
25.433079,1.871983068,0.2995465
25.466412,1.871799044,0.299462078
25.499745,1.871703436,0.299590576
25.533078,1.871504365,0.299389241
25.566411,1.871330327,0.299354487
25.599744,1.871233788,0.299264871
25.633077,1.871090643,0.299127319
25.66641,1.870707414,0.299000819
25.699743,1.870624856,0.298870457
25.733076,1.870433907,0.298639161
25.766409,1.870288232,0.298361394
25.799742,1.869975178,0.298091083
25.833075,1.869771579,0.297880161
25.866408,1.869992222,0.298035157
25.899741,1.870016324,0.297956327
25.933074,1.869831234,0.297748068
25.966407,1.869816853,0.297462311
25.99974,1.86955067,0.297211707
26.033073,1.869604066,0.297159243
26.066406,1.870071185,0.297560581
26.099739,1.87007012,0.29754407
26.133072,1.870111132,0.297444201
26.166405,1.87019915,0.297170961
26.199738,1.870370657,0.297315304
26.233071,1.870572125,0.297395732
26.266404,1.87059929,0.297309445
26.299737,1.87045721,0.297209577
26.33307,1.87045468,0.29706044
26.366403,1.870608744,0.297044461
26.399736,1.87072073,0.297023688
26.433069,1.870800491,0.297041797
26.466402,1.870876258,0.296934206
26.499735,1.870896632,0.296731806
26.533068,1.870911412,0.296642856
26.566401,1.871045103,0.296777346
26.599734,1.87125496,0.296749915
26.633067,1.871249767,0.296640193
26.6664,1.871296372,0.296459364
26.699733,1.871292777,0.296402106
26.733066,1.871303696,0.296460962
26.766399,1.871554432,0.296574945
26.799732,1.871536589,0.296609566
26.833065,1.871600239,0.296563494
26.866398,1.871580531,0.296644454
26.899731,1.871859631,0.296840995
26.933064,1.871965225,0.296932075
26.966397,1.871987063,0.297021557
26.99973,1.87202741,0.297217033
